"Name","Errors"
"Tuesday - Zentidos La Tahona","Required fields are missing: [Admin_Close_Time__c, Admin_Open_Time__c, Business_Branch__c, Close_Time__c, Day_Of_Week__c, Open_Time__c]"
"Wednesday - Zentidos La Tahona","Required fields are missing: [Admin_Close_Time__c, Admin_Open_Time__c, Business_Branch__c, Close_Time__c, Day_Of_Week__c, Open_Time__c]"
"Thursday - Zentidos La Tahona","Required fields are missing: [Admin_Close_Time__c, Admin_Open_Time__c, Business_Branch__c, Close_Time__c, Day_Of_Week__c, Open_Time__c]"
"Saturday - Zentidos La Tahona","Required fields are missing: [Admin_Close_Time__c, Admin_Open_Time__c, Business_Branch__c, Close_Time__c, Day_Of_Week__c, Open_Time__c]"
"Friday - Zentidos La Tahona","Required fields are missing: [Admin_Close_Time__c, Admin_Open_Time__c, Business_Branch__c, Close_Time__c, Day_Of_Week__c, Open_Time__c]"
"Tuesday - Silvina Uñas Pocitos","Required fields are missing: [Admin_Close_Time__c, Admin_Open_Time__c, Business_Branch__c, Close_Time__c, Day_Of_Week__c, Open_Time__c]"
"Wednesday - Silvina Uñas Pocitos","Required fields are missing: [Admin_Close_Time__c, Admin_Open_Time__c, Business_Branch__c, Close_Time__c, Day_Of_Week__c, Open_Time__c]"
"Thursday - Silvina Uñas Pocitos","Required fields are missing: [Admin_Close_Time__c, Admin_Open_Time__c, Business_Branch__c, Close_Time__c, Day_Of_Week__c, Open_Time__c]"
"Friday - Silvina Uñas Pocitos","Required fields are missing: [Admin_Close_Time__c, Admin_Open_Time__c, Business_Branch__c, Close_Time__c, Day_Of_Week__c, Open_Time__c]"
"Saturday - Silvina Uñas Pocitos","Required fields are missing: [Admin_Close_Time__c, Admin_Open_Time__c, Business_Branch__c, Close_Time__c, Day_Of_Week__c, Open_Time__c]"
