"Name","Errors"
"Tuesday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Wednesday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Thursday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Dahiana Rodriguez - Friday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Saturday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Tuesday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Wednesday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Thursday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Yamila Perez - Friday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Saturday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Tuesday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Wednesday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Thursday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Zentidos Manager - Friday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Saturday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Tuesday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Wednesday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Thursday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Agustina Garcia - Zentidos La Tahona - Friday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Saturday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
