"Name","Errors"
"Masaje Zentidos La Tahona","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Brushing Zentidos La Tahona","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Uñas Zentidos La Tahona","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Uñas y Pies Zentidos La Tahona","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Cejas y Pestañas Zentidos La Tahona","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Manicuría con Esmalte Tradicional OPI Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Manicuría sin Esmalte Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Estética de Pies Tradicional Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Manicuría Semi / Kapping Rubber Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Manicuría Gel de Construcción Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Uñas Esculpidas / Soft Gel Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Estética de Pies Semipermanente Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Podo Estética Tradicional Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Podo Estética Semipermanente Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Podología Tradicional Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Podología Semipermanente Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Perfilado de Cejas Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Laminado de Cejas Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Lifting de Pestañas Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Tinte de Pestañas Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Presoterapia - Sesión Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Podología Clínica Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
"Retoques Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, AA_Service_Category__c, Display_Name__c, Price__c]"
