"Name","Errors"
"Dahiana Rodriguez - Zentidos La Tahona","Required fields are missing: [Business_Branch__c, Color__c, First_Name__c, Last_Name__c]"
"Valeria Mazza - Zentidos La Tahona","Required fields are missing: [Business_Branch__c, Color__c, First_Name__c, Last_Name__c]"
"Zentidos Manager - Zentidos La Tahona","Required fields are missing: [Business_Branch__c, Color__c, First_Name__c, Last_Name__c]"
"Agustina Garcia - Zentidos La Tahona","Required fields are missing: [Business_Branch__c, Color__c, First_Name__c, Last_Name__c]"
"Camila Hernandez - Zentidos La Tahona","Required fields are missing: [Business_Branch__c, Color__c, First_Name__c, Last_Name__c]"
"Romina Cabrera - Zentidos La Tahona","Required fields are missing: [Business_Branch__c, Color__c, First_Name__c, Last_Name__c]"
"Lucia Sosa - Zentidos La Tahona","Required fields are missing: [Business_Branch__c, Color__c, First_Name__c, Last_Name__c]"
"Sophie Fernandez - Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, Color__c, First_Name__c, Last_Name__c]"
"Dahiana Clavero - Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, Color__c, First_Name__c, Last_Name__c]"
"Yamila Sosa - Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, Color__c, First_Name__c, Last_Name__c]"
"Silvina Schnyder - Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, Color__c, First_Name__c, Last_Name__c]"
"Agustina Ferreira - Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, Color__c, First_Name__c, Last_Name__c]"
"Soledad Dos Santos - Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, Color__c, First_Name__c, Last_Name__c]"
"Presoterapia Bota - Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, Color__c, First_Name__c, Last_Name__c]"
"Cejas Y pestañas - Silvina Uñas Pocitos","Required fields are missing: [Business_Branch__c, Color__c, First_Name__c, Last_Name__c]"
